Trading simulation for AUDUSD:
  Short position opened at 1.61597, closed at 1.61690, profit: -0.50, balance: 9952.95
  Short position opened at 1.61690, closed at 1.61806, profit: -0.50, balance: 9952.45
  Short position opened at 1.61736, closed at 1.61840, profit: -0.50, balance: 9951.95
  Short position opened at 1.61806, closed at 1.61921, profit: -0.50, balance: 9951.45
  Short position opened at 1.61806, closed at 1.61921, profit: -0.50, balance: 9950.95
  Short position opened at 1.61806, closed at 1.61921, profit: -0.50, balance: 9950.45
  Short position opened at 1.61840, closed at 1.61921, profit: -0.50, balance: 9949.95
  Short position opened at 1.61921, closed at 1.62049, profit: -0.50, balance: 9949.45
  Short position opened at 1.61921, closed at 1.62049, profit: -0.50, balance: 9948.95
  Short position opened at 1.62049, closed at 1.62176, profit: -0.50, balance: 9948.45
  Short position opened at 1.62176, closed at 1.62303, profit: -0.50, balance: 9947.95
  Short position opened at 1.62211, closed at 1.62303, profit: -0.50, balance: 9947.45
  Short position opened at 1.62211, closed at 1.62303, profit: -0.50, balance: 9946.95
  Short position opened at 1.62222, closed at 1.62338, profit: -0.50, balance: 9946.45
  Short position opened at 1.62222, closed at 1.62338, profit: -0.50, balance: 9945.95
  Short position opened at 1.62303, closed at 1.62407, profit: -0.50, balance: 9945.45
  Short position opened at 1.62338, closed at 1.62454, profit: -0.50, balance: 9944.95
  Short position opened at 1.62361, closed at 1.62454, profit: -0.50, balance: 9944.45
  Short position opened at 1.62407, closed at 1.62500, profit: -0.50, balance: 9943.95
  Short position opened at 1.62454, closed at 1.62650, profit: -0.50, balance: 9943.45
  Short position opened at 1.62500, closed at 1.62650, profit: -0.50, balance: 9942.95
  Short position opened at 1.62650, closed at 1.62836, profit: -0.50, balance: 9942.45
  Short position opened at 1.62720, closed at 1.62836, profit: -0.50, balance: 9941.95
  Short position opened at 1.62836, closed at 1.62951, profit: -0.50, balance: 9941.45
  Short position opened at 1.62882, closed at 1.63137, profit: -0.50, balance: 9940.95
  Short position opened at 1.62894, closed at 1.63137, profit: -0.50, balance: 9940.45
  Short position opened at 1.62894, closed at 1.63137, profit: -0.50, balance: 9939.95
  Short position opened at 1.62951, closed at 1.63137, profit: -0.50, balance: 9939.45
  Short position opened at 1.63137, closed at 1.63194, profit: -0.35, balance: 9939.10
  Short position opened at 1.63137, closed at 1.63206, profit: -0.43, balance: 9938.67
  Short position opened at 1.63148, closed at 1.63218, profit: -0.43, balance: 9938.24
  Short position opened at 1.63194, closed at 1.63218, profit: -0.14, balance: 9938.10
  Short position opened at 1.63194, closed at 1.63229, profit: -0.21, balance: 9937.89
  Short position opened at 1.63194, closed at 1.63241, profit: -0.28, balance: 9937.61
  Short position opened at 1.63206, closed at 1.63241, profit: -0.21, balance: 9937.39
  Short position opened at 1.63218, closed at 1.63345, profit: -0.50, balance: 9936.89
  Short position opened at 1.63218, closed at 1.63345, profit: -0.50, balance: 9936.39
  Short position opened at 1.63229, closed at 1.63345, profit: -0.50, balance: 9935.89
  Short position opened at 1.63241, closed at 1.63345, profit: -0.50, balance: 9935.39
  Short position opened at 1.63241, closed at 1.63345, profit: -0.50, balance: 9934.89
  Short position opened at 1.63345, closed at 1.63530, profit: -0.50, balance: 9934.39
  Short position opened at 1.63345, closed at 1.63530, profit: -0.50, balance: 9933.89
  Short position opened at 1.63345, closed at 1.63530, profit: -0.50, balance: 9933.39
