Local time,Ask,Bid,AskVolume,BidVolume
28.10.2024 00:02:36.020 GMT-0700,0.65988,0.65978,2700000.0477,1799999.9523
28.10.2024 00:02:37.533 GMT-0700,0.65989,0.65979,3599999.9046,1200000.0477
28.10.2024 00:02:40.060 GMT-0700,0.6598700000000001,0.65978,2700000.0477,1200000.0477
28.10.2024 00:02:41.130 GMT-0700,0.6598600000000001,0.65977,1200000.0477,1200000.0477
28.10.2024 00:02:45.972 GMT-0700,0.65984,0.65977,1200000.0477,1200000.0477
28.10.2024 00:02:46.023 GMT-0700,0.65984,0.65972,2700000.0477,1200000.0477
28.10.2024 00:02:46.075 GMT-0700,0.6598100000000001,0.65973,1200000.0477,1799999.9523
28.10.2024 00:02:47.343 GMT-0700,0.65983,0.65973,1200000.0477,1200000.0477
28.10.2024 00:02:51.370 GMT-0700,0.6598100000000001,0.65973,1200000.0477,1799999.9523
28.10.2024 00:02:55.368 GMT-0700,0.6598,0.65973,1200000.0477,1200000.0477
28.10.2024 00:02:57.992 GMT-0700,0.65979,0.65971,1200000.0477,1799999.9523
28.10.2024 00:02:58.096 GMT-0700,0.65978,0.65969,1200000.0477,1799999.9523
28.10.2024 00:02:59.764 GMT-0700,0.65979,0.6597000000000001,2700000.0477,1200000.0477
28.10.2024 00:03:00.171 GMT-0700,0.65978,0.6597000000000001,1799999.9523,1200000.0477
28.10.2024 00:03:00.273 GMT-0700,0.6598,0.65969,2700000.0477,1200000.0477
28.10.2024 00:03:03.048 GMT-0700,0.65978,0.6597000000000001,1200000.0477,1200000.0477
28.10.2024 00:03:03.753 GMT-0700,0.65979,0.6597000000000001,4500000,1200000.0477
28.10.2024 00:03:08.194 GMT-0700,0.65979,0.65971,2700000.0477,1200000.0477
28.10.2024 00:03:10.701 GMT-0700,0.6598,0.65972,2700000.0477,1200000.0477
28.10.2024 00:03:11.325 GMT-0700,0.6598,0.6597000000000001,2700000.0477,1200000.0477
28.10.2024 00:03:11.529 GMT-0700,0.65979,0.6597000000000001,2700000.0477,1799999.9523
28.10.2024 00:03:13.095 GMT-0700,0.65979,0.65971,1200000.0477,1200000.0477
28.10.2024 00:03:13.649 GMT-0700,0.65979,0.6597000000000001,1200000.0477,1799999.9523
28.10.2024 00:03:14.153 GMT-0700,0.65978,0.6597000000000001,1200000.0477,1200000.0477
28.10.2024 00:03:14.256 GMT-0700,0.65977,0.65969,1200000.0477,1200000.0477
28.10.2024 00:03:15.067 GMT-0700,0.6597500000000001,0.65967,1200000.0477,1799999.9523
28.10.2024 00:03:19.709 GMT-0700,0.65976,0.65968,1200000.0477,1200000.0477
28.10.2024 00:03:20.270 GMT-0700,0.65977,0.65969,1799999.9523,1200000.0477
28.10.2024 00:03:21.788 GMT-0700,0.65976,0.65968,1200000.0477,1200000.0477
28.10.2024 00:03:28.198 GMT-0700,0.65978,0.65968,1799999.9523,1200000.0477
28.10.2024 00:03:28.601 GMT-0700,0.65978,0.6597000000000001,1200000.0477,1200000.0477
28.10.2024 00:03:44.185 GMT-0700,0.6598,0.65973,1200000.0477,1200000.0477
28.10.2024 00:03:44.292 GMT-0700,0.65982,0.65972,1200000.0477,1200000.0477
28.10.2024 00:03:45.161 GMT-0700,0.6598100000000001,0.65972,1200000.0477,1200000.0477
28.10.2024 00:03:45.416 GMT-0700,0.65979,0.65972,1200000.0477,1799999.9523
28.10.2024 00:03:45.621 GMT-0700,0.6598100000000001,0.65971,1799999.9523,1200000.0477
28.10.2024 00:03:47.795 GMT-0700,0.65979,0.65972,1200000.0477,1200000.0477
